Statute,State,Universal Citation,Section #,Statute Language,Complete Statute,Contributing Factor,Source URL,Source Type,Authority Level,Jurisdiction,Code,Base Section,Canonical Citation,Relevance Tier,Topic / Working Title,Contributing Factor Hint,Injury Relevance Reason,Row Granularity,Suggested DB Table,Suggested Primary Key,Notes
Cal. Veh. Code § 2800.1,California,Cal. Veh. Code,2800.1,"“[a]ny person who, while operating a motor vehicle and with the intent to evade, willfully flees or otherwise attempts to elude a pursuing peace officer’s motor vehicle, is guilty of a misdemeanor punishable by imprisonment….”","Pursuant to Cal. Veh. Code § 2800.1(a), “[a]ny person who, while operating a motor vehicle and with the intent to evade, willfully flees or otherwise attempts to elude a pursuing peace officer’s motor vehicle, is guilty of a misdemeanor punishable by imprisonment….”",Fleeing a Police Officer,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=2800.1,official_state_code_section,official,CA,Vehicle Code,2800.1,Cal. Veh. Code § 2800.1,police_pursuit,Fleeing or evading police,fleeing police,Included in released eval; common high-risk crash causation factor.,base_section,statutes,CA|VEH|2800.1,
Cal. Veh. Code § 2800.2,California,Cal. Veh. Code,2800.2,Official statutory language for Cal. Veh. Code § 2800.2 should be pulled from the California Legislative Information source URL in this row.,Cal. Veh. Code § 2800.2 — Evading police with reckless disregard. Official current full text source: https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=2800.2,fleeing police / reckless driving,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=2800.2,official_state_code_section,official,CA,Vehicle Code,2800.2,Cal. Veh. Code § 2800.2,police_pursuit,Evading police with reckless disregard,fleeing police / reckless driving,Common high-risk crash causation statute connected to pursuit-related injury risk.,base_section,statutes,CA|VEH|2800.2,Full statute text should be fetched from official source during ingestion.
Cal. Veh. Code § 2800.3,California,Cal. Veh. Code,2800.3,Official statutory language for Cal. Veh. Code § 2800.3 should be pulled from the California Legislative Information source URL in this row.,Cal. Veh. Code § 2800.3 — Fleeing police causing serious bodily injury or death. Official current full text source: https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=2800.3,fleeing police / serious injury / death,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=2800.3,official_state_code_section,official,CA,Vehicle Code,2800.3,Cal. Veh. Code § 2800.3,direct_injury_offense,Fleeing police causing serious bodily injury or death,fleeing police / serious injury / death,Directly covers fleeing/eluding police causing serious bodily injury or death.,base_section,statutes,CA|VEH|2800.3,Full statute text should be fetched from official source during ingestion.
Cal. Veh. Code § 15620,California,Cal. Veh. Code,15620,Official statutory language for Cal. Veh. Code § 15620 should be pulled from the California Legislative Information source URL in this row.,Cal. Veh. Code § 15620 — Unattended child in motor vehicle. Official current full text source: https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=15620,child safety / injury risk,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=15620,official_state_code_section,official,CA,Vehicle Code,15620,Cal. Veh. Code § 15620,direct_safety_injury_risk,Unattended child in motor vehicle,child safety / injury risk,Direct safety statute involving child health/safety risks in a vehicle.,base_section,statutes,CA|VEH|15620,Full statute text should be fetched from official source during ingestion.
Cal. Veh. Code § 16000,California,Cal. Veh. Code,16000,Official statutory language for Cal. Veh. Code § 16000 should be pulled from the California Legislative Information source URL in this row.,Cal. Veh. Code § 16000 — Reportable accident to DMV. Official current full text source: https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=16000,accident reporting,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=16000,official_state_code_section,official,CA,Vehicle Code,16000,Cal. Veh. Code § 16000,financial_responsibility_reporting,Reportable accident to DMV,accident reporting,"Directly relevant because reportability is triggered by bodily injury, death, or property damage.",base_section,statutes,CA|VEH|16000,Full statute text should be fetched from official source during ingestion.
Cal. Veh. Code § 16000.1,California,Cal. Veh. Code,16000.1,Official statutory language for Cal. Veh. Code § 16000.1 should be pulled from the California Legislative Information source URL in this row.,Cal. Veh. Code § 16000.1 — Reportable off-highway accident. Official current full text source: https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=16000.1,accident reporting,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=16000.1,official_state_code_section,official,CA,Vehicle Code,16000.1,Cal. Veh. Code § 16000.1,financial_responsibility_reporting,Reportable off-highway accident,accident reporting,Directly relevant to off-highway accidents involving bodily injury or death.,base_section,statutes,CA|VEH|16000.1,Full statute text should be fetched from official source during ingestion.
Cal. Veh. Code § 16050,California,Cal. Veh. Code,16050,Official statutory language for Cal. Veh. Code § 16050 should be pulled from the California Legislative Information source URL in this row.,Cal. Veh. Code § 16050 — Evidence of financial responsibility after accident. Official current full text source: https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=16050,insurance / financial responsibility,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=16050,official_state_code_section,official,CA,Vehicle Code,16050,Cal. Veh. Code § 16050,financial_responsibility,Evidence of financial responsibility after accident,insurance / financial responsibility,Relevant after reportable crashes; ties insurance/financial responsibility to accident handling.,base_section,statutes,CA|VEH|16050,Full statute text should be fetched from official source during ingestion.
Cal. Veh. Code § 16050.5,California,Cal. Veh. Code,16050.5,Official statutory language for Cal. Veh. Code § 16050.5 should be pulled from the California Legislative Information source URL in this row.,Cal. Veh. Code § 16050.5 — Owner insurance information after accident. Official current full text source: https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=16050.5,insurance / financial responsibility,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=16050.5,official_state_code_section,official,CA,Vehicle Code,16050.5,Cal. Veh. Code § 16050.5,financial_responsibility,Owner insurance information after accident,insurance / financial responsibility,Relevant after reportable crashes; requires owner insurance information.,base_section,statutes,CA|VEH|16050.5,Full statute text should be fetched from official source during ingestion.
Cal. Veh. Code § 16430,California,Cal. Veh. Code,16430,Official statutory language for Cal. Veh. Code § 16430 should be pulled from the California Legislative Information source URL in this row.,Cal. Veh. Code § 16430 — Proof of financial responsibility amounts. Official current full text source: https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=16430,insurance / financial responsibility,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=16430,official_state_code_section,official,CA,Vehicle Code,16430,Cal. Veh. Code § 16430,financial_responsibility,Proof of financial responsibility amounts,insurance / financial responsibility,Defines injury/death/property-damage coverage amounts.,base_section,statutes,CA|VEH|16430,Full statute text should be fetched from official source during ingestion.
Cal. Veh. Code § 17001,California,Cal. Veh. Code,17001,Official statutory language for Cal. Veh. Code § 17001 should be pulled from the California Legislative Information source URL in this row.,Cal. Veh. Code § 17001 — Public entity vehicle liability. Official current full text source: https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=17001,civil liability,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=17001,official_state_code_section,official,CA,Vehicle Code,17001,Cal. Veh. Code § 17001,civil_liability,Public entity vehicle liability,civil liability,Direct civil liability statute for death or injury caused by negligent operation by public employee.,base_section,statutes,CA|VEH|17001,Full statute text should be fetched from official source during ingestion.
Cal. Veh. Code § 17002,California,Cal. Veh. Code,17002,Official statutory language for Cal. Veh. Code § 17002 should be pulled from the California Legislative Information source URL in this row.,Cal. Veh. Code § 17002 — Public entity liability tied to vehicle owner rules. Official current full text source: https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=17002,civil liability,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=17002,official_state_code_section,official,CA,Vehicle Code,17002,Cal. Veh. Code § 17002,civil_liability,Public entity liability tied to vehicle owner rules,civil liability,Relevant to public entity liability in vehicle injury cases.,base_section,statutes,CA|VEH|17002,Full statute text should be fetched from official source during ingestion.
Cal. Veh. Code § 17150,California,Cal. Veh. Code,17150,Official statutory language for Cal. Veh. Code § 17150 should be pulled from the California Legislative Information source URL in this row.,Cal. Veh. Code § 17150 — Owner liability for permissive use. Official current full text source: https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=17150,civil liability,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=17150,official_state_code_section,official,CA,Vehicle Code,17150,Cal. Veh. Code § 17150,civil_liability,Owner liability for permissive use,civil liability,"Directly imposes owner responsibility for death, personal injury, or property injury from permissive use.",base_section,statutes,CA|VEH|17150,Full statute text should be fetched from official source during ingestion.
Cal. Veh. Code § 17151,California,Cal. Veh. Code,17151,Official statutory language for Cal. Veh. Code § 17151 should be pulled from the California Legislative Information source URL in this row.,Cal. Veh. Code § 17151 — Limits on owner liability. Official current full text source: https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=17151,civil liability,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=17151,official_state_code_section,official,CA,Vehicle Code,17151,Cal. Veh. Code § 17151,civil_liability,Limits on owner liability,civil liability,Sets liability limits for injury/death/property damage under owner-liability rules.,base_section,statutes,CA|VEH|17151,Full statute text should be fetched from official source during ingestion.
Cal. Veh. Code § 17152,California,Cal. Veh. Code,17152,Official statutory language for Cal. Veh. Code § 17152 should be pulled from the California Legislative Information source URL in this row.,Cal. Veh. Code § 17152 — Joinder of vehicle operator. Official current full text source: https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=17152,civil liability,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=17152,official_state_code_section,official,CA,Vehicle Code,17152,Cal. Veh. Code § 17152,civil_liability,Joinder of vehicle operator,civil liability,Procedural statute for actions based on owner/bailee liability in injury/property cases.,base_section,statutes,CA|VEH|17152,Full statute text should be fetched from official source during ingestion.
Cal. Veh. Code § 17153,California,Cal. Veh. Code,17153,Official statutory language for Cal. Veh. Code § 17153 should be pulled from the California Legislative Information source URL in this row.,Cal. Veh. Code § 17153 — Subrogation after owner/bailee judgment. Official current full text source: https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=17153,civil liability,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=17153,official_state_code_section,official,CA,Vehicle Code,17153,Cal. Veh. Code § 17153,civil_liability,Subrogation after owner/bailee judgment,civil liability,Relevant after payment of judgment for injury/property damage.,base_section,statutes,CA|VEH|17153,Full statute text should be fetched from official source during ingestion.
Cal. Veh. Code § 17154,California,Cal. Veh. Code,17154,Official statutory language for Cal. Veh. Code § 17154 should be pulled from the California Legislative Information source URL in this row.,Cal. Veh. Code § 17154 — Bailee liability. Official current full text source: https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=17154,civil liability,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=17154,official_state_code_section,official,CA,Vehicle Code,17154,Cal. Veh. Code § 17154,civil_liability,Bailee liability,civil liability,"Liability of bailee for death, injury, or property damage from permissive use.",base_section,statutes,CA|VEH|17154,Full statute text should be fetched from official source during ingestion.
Cal. Veh. Code § 17155,California,Cal. Veh. Code,17155,Official statutory language for Cal. Veh. Code § 17155 should be pulled from the California Legislative Information source URL in this row.,Cal. Veh. Code § 17155 — Multiple injured/deceased claimants. Official current full text source: https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=17155,civil liability,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=17155,official_state_code_section,official,CA,Vehicle Code,17155,Cal. Veh. Code § 17155,civil_liability,Multiple injured/deceased claimants,civil liability,Addresses payments/settlements where multiple people are injured or killed.,base_section,statutes,CA|VEH|17155,Full statute text should be fetched from official source during ingestion.
Cal. Veh. Code § 17158,California,Cal. Veh. Code,17158,Official statutory language for Cal. Veh. Code § 17158 should be pulled from the California Legislative Information source URL in this row.,Cal. Veh. Code § 17158 — Passenger action limitation. Official current full text source: https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=17158,civil liability,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=17158,official_state_code_section,official,CA,Vehicle Code,17158,Cal. Veh. Code § 17158,civil_liability,Passenger action limitation,civil liability,Limits owner-passenger actions unless injury/death resulted from intoxication or willful misconduct.,base_section,statutes,CA|VEH|17158,Full statute text should be fetched from official source during ingestion.
Cal. Veh. Code § 17159,California,Cal. Veh. Code,17159,Official statutory language for Cal. Veh. Code § 17159 should be pulled from the California Legislative Information source URL in this row.,Cal. Veh. Code § 17159 — Personal representative liability. Official current full text source: https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=17159,civil liability,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=17159,official_state_code_section,official,CA,Vehicle Code,17159,Cal. Veh. Code § 17159,civil_liability,Personal representative liability,civil liability,"Liability for death, injury, or property damage from permissive use of estate vehicle.",base_section,statutes,CA|VEH|17159,Full statute text should be fetched from official source during ingestion.
